docname,topic,proportion
367c91fc-0e58-4774-87e1-9c46cd9d6df0.txt,000,0.825576
367c91fc-0e58-4774-87e1-9c46cd9d6df0.txt,003,0.109172
367c91fc-0e58-4774-87e1-9c46cd9d6df0.txt,011,0.030941
367c91fc-0e58-4774-87e1-9c46cd9d6df0.txt,013,0.019929
367c91fc-0e58-4774-87e1-9c46cd9d6df0.txt,005,0.014382
16233ae37735a7dd.txt,003,0.504375
16233ae37735a7dd.txt,004,0.169991
16233ae37735a7dd.txt,000,0.123468
16233ae37735a7dd.txt,001,0.076989
16233ae37735a7dd.txt,006,0.071314
16233ae37735a7dd.txt,002,0.053864
14eaf0c8ed8d5938.txt,003,0.573655
14eaf0c8ed8d5938.txt,000,0.215691
14eaf0c8ed8d5938.txt,002,0.175414
14eaf0c8ed8d5938.txt,005,0.035239
da7ce55c-dc6d-4f88-b9a0-9a6bf528412b.txt,003,0.739994
da7ce55c-dc6d-4f88-b9a0-9a6bf528412b.txt,006,0.260006
8f4e5434-668d-4042-8f2b-68735c400c41.txt,000,0.778383
8f4e5434-668d-4042-8f2b-68735c400c41.txt,002,0.211916
8f4e5434-668d-4042-8f2b-68735c400c41.txt,007,0.009701
14eaeefb936c6da1.txt,006,0.310761
14eaeefb936c6da1.txt,004,0.24032
14eaeefb936c6da1.txt,000,0.160699
14eaeefb936c6da1.txt,002,0.112096
14eaeefb936c6da1.txt,005,0.102963
14eaeefb936c6da1.txt,003,0.055897
14eaeefb936c6da1.txt,010,0.017265
165a76eb3fbc6e36.txt,002,0.32066
165a76eb3fbc6e36.txt,005,0.213859
165a76eb3fbc6e36.txt,001,0.188442
165a76eb3fbc6e36.txt,000,0.149214
165a76eb3fbc6e36.txt,003,0.106386
165a76eb3fbc6e36.txt,006,0.021439
144436bde4542860.txt,002,0.64877
144436bde4542860.txt,000,0.164888
144436bde4542860.txt,006,0.12561
144436bde4542860.txt,007,0.060732
bbbc017d-a8f8-46c2-b407-e87ea7388b7e.txt,003,0.988417
bbbc017d-a8f8-46c2-b407-e87ea7388b7e.txt,000,0.011583
37a1c3a2-ab0b-4912-a936-54b507921ab1.txt,002,0.462745
37a1c3a2-ab0b-4912-a936-54b507921ab1.txt,006,0.167459
37a1c3a2-ab0b-4912-a936-54b507921ab1.txt,008,0.116118
37a1c3a2-ab0b-4912-a936-54b507921ab1.txt,004,0.11033
37a1c3a2-ab0b-4912-a936-54b507921ab1.txt,005,0.090789
37a1c3a2-ab0b-4912-a936-54b507921ab1.txt,000,0.039718
37a1c3a2-ab0b-4912-a936-54b507921ab1.txt,001,0.012841
143e1b7ee3696ef4.txt,000,0.52434
143e1b7ee3696ef4.txt,004,0.246902
143e1b7ee3696ef4.txt,008,0.124136
143e1b7ee3696ef4.txt,005,0.041325
143e1b7ee3696ef4.txt,001,0.031771
143e1b7ee3696ef4.txt,003,0.024801
143e1b7ee3696ef4.txt,006,0.006724
14f3b3f343b89eae.txt,005,0.797936
14f3b3f343b89eae.txt,003,0.139835
14f3b3f343b89eae.txt,001,0.037535
14f3b3f343b89eae.txt,000,0.024694
163996ce0b20a566.txt,002,0.66064
163996ce0b20a566.txt,003,0.203984
163996ce0b20a566.txt,009,0.068399
163996ce0b20a566.txt,001,0.043245
163996ce0b20a566.txt,006,0.023731
16122f5798d93aaf.txt,000,0.427419
16122f5798d93aaf.txt,004,0.274478
16122f5798d93aaf.txt,003,0.205037
